screening_cost_parameter,threshold,number_treated,percentage_treated,average_benefit_probability_among_treated,expected_total_benefit,treatment_cost,screening_cost,net_system_value
0.01,0.05,9684,96.84,0.2934474116577138,2841.7447344933007,1936.8000000000002,5.0,899.9447344933005
0.01,0.1,8863,88.63,0.3135021453666122,2778.569514384284,1772.6000000000001,10.0,995.9695143842839
0.01,0.15,7792,77.92,0.3393207125762056,2643.986992393794,1558.4,15.0,1070.586992393794
0.01,0.2,6584,65.84,0.3693938760790342,2432.089280104361,1316.8000000000002,20.0,1095.2892801043608
0.01,0.25,5387,53.87,0.40161058571678476,2163.4762252563196,1077.4,25.0,1061.0762252563195
0.01,0.3,4249,42.49,0.43580256370974413,1851.7250932027027,849.8000000000001,30.0,971.9250932027027
0.01,0.35,3200,32.0,0.47219634677924716,1511.028309693591,640.0,35.0,836.0283096935909
0.01,0.4,2293,22.93,0.5107982327819205,1171.2603477689436,458.6,40.0,672.6603477689436
0.01,0.45,1580,15.8,0.5497950835261237,868.6762319712755,316.0,45.0,507.67623197127546
0.01,0.5,1056,10.56,0.5875213509044657,620.4225465551158,211.20000000000002,50.0,359.22254655511574
0.01,0.55,642,6.419999999999999,0.6283680562414211,403.41229210699237,128.4,55.00000000000001,220.0122921069924
0.01,0.6,366,3.66,0.6702409496902362,245.30818758662645,73.2,60.0,112.10818758662646
0.01,0.65,207,2.07,0.7074710407607759,146.44650543748062,41.400000000000006,65.0,40.04650543748062
0.01,0.7,98,0.98,0.7458251106179459,73.09086084055869,19.6,70.0,-16.50913915944131
0.01,0.75,37,0.37,0.7835243998879623,28.990402795854607,7.4,75.0,-53.40959720414539
0.01,0.8,9,0.09,0.8138436041672477,7.324592437505229,1.8,80.0,-74.47540756249477
0.01,0.85,0,0.0,0.0,0.0,0.0,85.0,-85.0
0.01,0.9,0,0.0,0.0,0.0,0.0,90.0,-90.0
0.01,0.95,0,0.0,0.0,0.0,0.0,95.0,-95.0
0.05,0.05,9684,96.84,0.2934474116577138,2841.7447344933007,1936.8000000000002,25.0,879.9447344933005
0.05,0.1,8863,88.63,0.3135021453666122,2778.569514384284,1772.6000000000001,50.0,955.9695143842839
0.05,0.15,7792,77.92,0.3393207125762056,2643.986992393794,1558.4,75.0,1010.5869923937939
0.05,0.2,6584,65.84,0.3693938760790342,2432.089280104361,1316.8000000000002,100.0,1015.2892801043608
0.05,0.25,5387,53.87,0.40161058571678476,2163.4762252563196,1077.4,125.0,961.0762252563195
0.05,0.3,4249,42.49,0.43580256370974413,1851.7250932027027,849.8000000000001,150.0,851.9250932027027
0.05,0.35,3200,32.0,0.47219634677924716,1511.028309693591,640.0,175.0,696.0283096935909
0.05,0.4,2293,22.93,0.5107982327819205,1171.2603477689436,458.6,200.0,512.6603477689436
0.05,0.45,1580,15.8,0.5497950835261237,868.6762319712755,316.0,225.0,327.67623197127546
0.05,0.5,1056,10.56,0.5875213509044657,620.4225465551158,211.20000000000002,250.0,159.22254655511574
0.05,0.55,642,6.419999999999999,0.6283680562414211,403.41229210699237,128.4,275.0,0.012292106992390472
0.05,0.6,366,3.66,0.6702409496902362,245.30818758662645,73.2,300.0,-127.89181241337354
0.05,0.65,207,2.07,0.7074710407607759,146.44650543748062,41.400000000000006,325.0,-219.95349456251938
0.05,0.7,98,0.98,0.7458251106179459,73.09086084055869,19.6,350.0,-296.5091391594413
0.05,0.75,37,0.37,0.7835243998879623,28.990402795854607,7.4,375.0,-353.40959720414537
0.05,0.8,9,0.09,0.8138436041672477,7.324592437505229,1.8,400.0,-394.47540756249475
0.05,0.85,0,0.0,0.0,0.0,0.0,425.0,-425.0
0.05,0.9,0,0.0,0.0,0.0,0.0,450.0,-450.0
0.05,0.95,0,0.0,0.0,0.0,0.0,475.0,-475.0
0.1,0.05,9684,96.84,0.2934474116577138,2841.7447344933007,1936.8000000000002,50.0,854.9447344933005
0.1,0.1,8863,88.63,0.3135021453666122,2778.569514384284,1772.6000000000001,100.0,905.9695143842839
0.1,0.15,7792,77.92,0.3393207125762056,2643.986992393794,1558.4,150.0,935.5869923937939
0.1,0.2,6584,65.84,0.3693938760790342,2432.089280104361,1316.8000000000002,200.0,915.2892801043608
0.1,0.25,5387,53.87,0.40161058571678476,2163.4762252563196,1077.4,250.0,836.0762252563195
0.1,0.3,4249,42.49,0.43580256370974413,1851.7250932027027,849.8000000000001,300.0,701.9250932027027
0.1,0.35,3200,32.0,0.47219634677924716,1511.028309693591,640.0,350.0,521.0283096935909
0.1,0.4,2293,22.93,0.5107982327819205,1171.2603477689436,458.6,400.0,312.66034776894355
0.1,0.45,1580,15.8,0.5497950835261237,868.6762319712755,316.0,450.0,102.67623197127546
0.1,0.5,1056,10.56,0.5875213509044657,620.4225465551158,211.20000000000002,500.0,-90.77745344488426
0.1,0.55,642,6.419999999999999,0.6283680562414211,403.41229210699237,128.4,550.0,-274.9877078930076
0.1,0.6,366,3.66,0.6702409496902362,245.30818758662645,73.2,600.0,-427.89181241337354
0.1,0.65,207,2.07,0.7074710407607759,146.44650543748062,41.400000000000006,650.0,-544.9534945625194
0.1,0.7,98,0.98,0.7458251106179459,73.09086084055869,19.6,700.0,-646.5091391594414
0.1,0.75,37,0.37,0.7835243998879623,28.990402795854607,7.4,750.0,-728.4095972041454
0.1,0.8,9,0.09,0.8138436041672477,7.324592437505229,1.8,800.0,-794.4754075624948
0.1,0.85,0,0.0,0.0,0.0,0.0,850.0,-850.0
0.1,0.9,0,0.0,0.0,0.0,0.0,900.0,-900.0
0.1,0.95,0,0.0,0.0,0.0,0.0,950.0,-950.0
0.2,0.05,9684,96.84,0.2934474116577138,2841.7447344933007,1936.8000000000002,100.0,804.9447344933005
0.2,0.1,8863,88.63,0.3135021453666122,2778.569514384284,1772.6000000000001,200.0,805.9695143842839
0.2,0.15,7792,77.92,0.3393207125762056,2643.986992393794,1558.4,300.0,785.5869923937939
0.2,0.2,6584,65.84,0.3693938760790342,2432.089280104361,1316.8000000000002,400.0,715.2892801043608
0.2,0.25,5387,53.87,0.40161058571678476,2163.4762252563196,1077.4,500.0,586.0762252563195
0.2,0.3,4249,42.49,0.43580256370974413,1851.7250932027027,849.8000000000001,600.0,401.92509320270267
0.2,0.35,3200,32.0,0.47219634677924716,1511.028309693591,640.0,700.0,171.02830969359093
0.2,0.4,2293,22.93,0.5107982327819205,1171.2603477689436,458.6,800.0,-87.33965223105645
0.2,0.45,1580,15.8,0.5497950835261237,868.6762319712755,316.0,900.0,-347.32376802872454
0.2,0.5,1056,10.56,0.5875213509044657,620.4225465551158,211.20000000000002,1000.0,-590.7774534448843
0.2,0.55,642,6.419999999999999,0.6283680562414211,403.41229210699237,128.4,1100.0,-824.9877078930076
0.2,0.6,366,3.66,0.6702409496902362,245.30818758662645,73.2,1200.0,-1027.8918124133736
0.2,0.65,207,2.07,0.7074710407607759,146.44650543748062,41.400000000000006,1300.0,-1194.9534945625194
0.2,0.7,98,0.98,0.7458251106179459,73.09086084055869,19.6,1400.0,-1346.5091391594412
0.2,0.75,37,0.37,0.7835243998879623,28.990402795854607,7.4,1500.0,-1478.4095972041455
0.2,0.8,9,0.09,0.8138436041672477,7.324592437505229,1.8,1600.0,-1594.4754075624949
0.2,0.85,0,0.0,0.0,0.0,0.0,1700.0,-1700.0
0.2,0.9,0,0.0,0.0,0.0,0.0,1800.0,-1800.0
0.2,0.95,0,0.0,0.0,0.0,0.0,1900.0,-1900.0
0.3,0.05,9684,96.84,0.2934474116577138,2841.7447344933007,1936.8000000000002,150.0,754.9447344933005
0.3,0.1,8863,88.63,0.3135021453666122,2778.569514384284,1772.6000000000001,300.0,705.9695143842839
0.3,0.15,7792,77.92,0.3393207125762056,2643.986992393794,1558.4,450.0,635.5869923937939
0.3,0.2,6584,65.84,0.3693938760790342,2432.089280104361,1316.8000000000002,600.0,515.2892801043608
0.3,0.25,5387,53.87,0.40161058571678476,2163.4762252563196,1077.4,750.0,336.0762252563195
0.3,0.3,4249,42.49,0.43580256370974413,1851.7250932027027,849.8000000000001,900.0,101.92509320270267
0.3,0.35,3200,32.0,0.47219634677924716,1511.028309693591,640.0,1050.0,-178.97169030640907
0.3,0.4,2293,22.93,0.5107982327819205,1171.2603477689436,458.6,1200.0,-487.33965223105645
0.3,0.45,1580,15.8,0.5497950835261237,868.6762319712755,316.0,1350.0,-797.3237680287245
0.3,0.5,1056,10.56,0.5875213509044657,620.4225465551158,211.20000000000002,1500.0,-1090.7774534448843
0.3,0.55,642,6.419999999999999,0.6283680562414211,403.41229210699237,128.4,1650.0000000000002,-1374.9877078930078
0.3,0.6,366,3.66,0.6702409496902362,245.30818758662645,73.2,1800.0,-1627.8918124133736
0.3,0.65,207,2.07,0.7074710407607759,146.44650543748062,41.400000000000006,1950.0,-1844.9534945625194
0.3,0.7,98,0.98,0.7458251106179459,73.09086084055869,19.6,2100.0,-2046.5091391594412
0.3,0.75,37,0.37,0.7835243998879623,28.990402795854607,7.4,2250.0,-2228.4095972041455
0.3,0.8,9,0.09,0.8138436041672477,7.324592437505229,1.8,2400.0,-2394.4754075624946
0.3,0.85,0,0.0,0.0,0.0,0.0,2550.0,-2550.0
0.3,0.9,0,0.0,0.0,0.0,0.0,2700.0,-2700.0
0.3,0.95,0,0.0,0.0,0.0,0.0,2850.0,-2850.0
